# n	f/Hz	Ueff/mV
0	168	3,36
1	502	22,10
2	837	57,70
3	1171	31,07
4	1510	21,70
5	1843	22,48
6	2188	22,93
7	2541	24,80
8	2876	13,20
9	3210	10,10
10	3554	6,76
