838,775,715,665,647,583,550,515,485,465,430,405,387,365,345,330,315,300,296,275,260,250
"10,57","9,53","10,10","8,92","8,89","8,76","7,79","7,59","7,92","7,40","7,03","6,52","6,41","6,55","5,64","6,07","5,30","5,48","5,04","4,69","4,76","5,12"
"111,7","90,8","102,0","79,6","79,0","76,7","60,7","57,6","62,7","54,8","49,4","42,5","41,1","42,9","31,8","36,8","28,1","30,0","25,4","22,0","22,7","26,2"
